foodbankID,foodbankAddress,glutenFree,halal,kosher,vegan,amount
1,76 Sommers Lane,true,false,false,false,673
2,775 Thierer Way,true,true,false,false,209
3,57176 Dryden Avenue,false,false,false,true,393
4,6210 Miller Street,false,false,false,true,761
5,7793 Debra Crossing,false,true,true,false,928
6,53 Corben Trail,false,false,true,true,374
7,186 Forest Dale Terrace,false,true,true,false,837
8,08156 Eggendart Circle,false,false,true,false,899
9,2 Ludington Trail,false,true,true,true,364
10,64 Derek Pass,true,false,true,true,481
11,9280 Gerald Road,true,true,false,true,84
12,6 Dryden Avenue,true,true,false,true,466
13,8 Merry Street,false,false,false,false,662
14,0 Little Fleur Lane,true,false,true,false,728
15,302 Rieder Center,true,true,false,true,113
16,60 Victoria Terrace,false,false,false,true,963
17,22709 Fairview Trail,false,true,true,true,678
18,4426 Atwood Alley,true,false,true,false,576
19,709 Logan Drive,false,true,true,true,991
20,15764 Prairie Rose Trail,false,true,false,false,792
21,5 Laurel Court,false,true,true,false,338
22,233 Ridgeway Place,false,true,true,true,567
23,20 Lakewood Street,false,true,false,true,403
24,3 Lakewood Gardens Street,false,false,false,true,844
25,3263 Drewry Park,false,true,false,true,562
26,0316 Darwin Junction,false,true,false,false,770
27,4680 Vahlen Terrace,false,true,true,false,163
28,9234 Dayton Road,true,false,true,true,935
29,50 Hoffman Terrace,true,true,false,false,688
30,08376 Grayhawk Court,false,false,false,true,911
31,48815 Cardinal Court,true,false,false,true,360
32,023 Scott Place,true,false,true,true,341
33,59 Badeau Court,true,true,true,false,166
34,33694 Schmedeman Alley,true,false,true,false,823
35,41440 Stuart Plaza,true,false,true,false,633
36,90 Laurel Place,true,false,false,true,99
37,37 Karstens Drive,true,false,false,true,571
38,806 Florence Point,true,true,false,false,161
39,0945 Meadow Vale Street,false,false,true,true,337
40,85 Waubesa Pass,false,false,true,false,739
41,765 Rutledge Pass,true,false,true,false,114
42,260 Sugar Trail,true,false,true,false,273
43,547 Briar Crest Alley,true,true,false,false,666
44,009 Florence Court,true,false,false,false,498
45,6411 Acker Avenue,true,true,false,true,781
46,0736 Trailsway Junction,false,false,false,true,865
47,40 Monica Park,false,true,false,true,876
48,66 Alpine Point,true,false,false,false,834
49,70 Oakridge Trail,false,true,false,true,528
50,112 Pearson Point,true,false,false,false,901
51,0 Dottie Terrace,false,false,true,true,397
52,81 Burrows Street,true,false,true,true,975
53,8 Dawn Junction,true,true,false,true,587
54,37 Hintze Lane,true,false,true,false,652
55,849 Sunnyside Pass,true,false,false,false,500
56,675 Northview Junction,true,true,false,false,395
57,188 Duke Circle,false,true,true,true,920
58,9437 Bonner Center,false,true,false,true,506
59,95 Shoshone Trail,true,false,true,true,266
60,6302 Burrows Center,false,true,true,false,126
61,57690 Marquette Hill,false,false,false,false,610
62,776 Jana Avenue,false,false,true,true,443
63,0165 Pleasure Park,false,false,false,false,494
64,322 Dunning Way,false,false,true,false,581
65,852 Transport Plaza,false,false,false,true,678
66,02 Hooker Drive,true,true,false,false,752
67,8 Red Cloud Pass,true,false,false,true,50
68,34834 Pond Point,false,false,false,false,114
69,52915 Kenwood Center,false,false,false,true,123
70,60 Cambridge Avenue,false,true,true,false,82
71,824 Straubel Crossing,true,true,false,false,920
72,5050 Red Cloud Road,false,true,false,false,9
73,5728 Southridge Alley,true,false,false,false,423
74,934 Waxwing Trail,true,true,false,true,324
75,3135 Hudson Point,true,true,true,true,92
76,52 Maryland Road,false,false,false,false,813
77,2 Manley Circle,true,false,true,true,157
78,0 Almo Trail,true,false,true,false,335
79,99 Armistice Circle,false,false,false,false,212
80,80166 Arizona Avenue,false,true,false,true,198
81,40 2nd Avenue,false,false,false,false,847
82,8 Cambridge Park,true,false,true,false,827
83,20826 Westport Circle,true,true,false,false,127
